back	adv.回原处?n.背?后面?adj.后面的?v.后退
skill	n.技能?技巧
public	adj.公共的?公开的?n.公众
go	v.去?离开?进行
fish	n.鱼?v.钓鱼
once	adv.一次?曾经?conj.一旦…(就…)
table	n.桌子?表格
day	n.天?一昼夜?时期
south	n.南部?adj.南方的?adv.在南方
almost	adv.几乎?差不多
local	adj.当地的?局部的?n.当地人
open	adj.开的?开放的?v.开
purpose	n.目的?意图
reach	v.到达?伸出?达成?n.范围
sometime	adv.将来(或过去)某个时候?adj.以前的
able	adj.能够…的?得以…的
allow	v.允许(…进入)?同意给?承认
middle	n.中部?中间?adj.中部的?中间的
home	n.家(乡)
European	adj.欧洲的?n.欧洲人
rise	n&v.上升?升起
member	n.成员?会员
toward	prep.向?朝?接近
last	adj.刚过去的?最后的?adv.最后?v.持续
today	n.今天?现今
left	adj.左边的?adv.向左?n.左边
recent	adj.近来的?新近的
Europe	n.欧洲
family	n.家?家庭
site	n.位置?地点?v.使位于?设置
incorrect	adj.不正确的?错误的
agricultural	adj.农业的
generally	adv.通常?普遍地
themselves	pron.他(她、它)们自己
though	conj.尽管?虽然?adv.可是
strong	adj.强烈的?坚强的?强壮的
clear	a&ad.清晰的(地)?v.清除?v.变清澈
reduce	v.减少?缩小
west	n.西(方?部)?adj.西方(部)的?adv.向西方
thus	adv.如此?因此
cannot	conj.不能
direct	a&ad.直接的?v.对准?指导
industry	n.工业?产业?n.勤劳， 勤奋； 工业， 行业
language	n.语言
glass	n.玻璃?玻璃杯?[pl]眼镜
deep	adj.深的?adv.深深地
green	adj.绿色的?生的?v.使…变绿
travel	n&v.旅行?移动?传播
role	n.作用?角色
right	a&ad.对(的)?右(的)?n.权利?v.扶直?纠正
lower	adj.较低的?下面的?v.降下?放低?v.降低?adj.较低的； 下级的， 下等的
center	n&a.中心(的)?v.居中?使集中
tend	v.易于?趋向?v.照料?v.趋于， 易于； 照料， 看护
longer	ad&a.比较久(的)
just	adv.正好?仅仅?刚才?adj.公平的
away	adv.在远处?离去
experience	n&vt.经历?经验
snow	n.雪?v.下雪
